资质类型,护工ID,获取时间,认证单位,创建时间,资质名称
信息类,3046,2024/4/2 0:00,象山老年医院,2024/4/15 9:18,健康证
信息类,4721,2024/3/31 0:00,象山老年医院,2024/4/15 9:19,健康证
信息类,4725,2024/3/31 0:00,象山老年医院,2024/4/15 9:21,健康证
信息类,3012,2024/4/2 0:00,象山老年医院,2024/4/15 9:22,健康证
信息类,3127,2024/4/2 0:00,象山老年医院,2024/4/15 9:23,健康证
信息类,3094,2024/4/2 0:00,象山老年医院,2024/4/15 9:24,健康证
信息类,3042,2024/4/2 0:00,象山老年医院,2024/4/15 9:26,健康证
信息类,3121,2024/4/2 0:00,象山老年医院,2024/4/15 9:27,健康证
信息类,3035,2024/4/2 0:00,象山老年医院,2024/4/15 9:28,健康证
信息类,4199,2024/4/2 0:00,象山老年医院,2024/4/15 9:29,健康证
信息类,3006,2024/4/2 0:00,象山老年医院,2024/4/15 9:31,健康证
信息类,3021,2024/4/2 0:00,象山老年医院,2024/4/15 9:32,健康证
信息类,3053,2024/4/2 0:00,象山老年医院,2024/4/15 9:33,健康证
信息类,3103,2024/4/2 0:00,象山老年医院,2024/4/15 9:35,健康证
信息类,3118,2024/3/31 0:00,象山老年医院,2024/4/15 9:36,健康证
信息类,3045,2024/3/31 0:00,象山老年医院,2024/4/15 9:37,健康证
信息类,3005,2024/4/3 0:00,象山老年医院,2024/4/15 9:39,健康证
信息类,3064,2024/4/2 0:00,象山老年医院,2024/4/15 9:40,健康证
信息类,3040,2024/3/31 0:00,象山老年医院,2024/4/15 9:41,健康证
信息类,3087,2024/3/31 0:00,象山老年医院,2024/4/15 9:42,健康证
信息类,3073,2024/4/3 0:00,象山老年医院,2024/4/15 9:43,健康证
信息类,3093,2024/4/3 0:00,象山老年医院,2024/4/15 9:44,健康证
信息类,5243,2024/4/2 0:00,象山老年医院,2024/4/15 9:45,健康证
信息类,3029,2024/4/7 0:00,象山老年医院,2024/4/15 9:46,健康证
信息类,3041,2024/4/8 0:00,象山老年医院,2024/4/15 9:47,健康证
信息类,3065,2024/4/9 0:00,象山老年医院,2024/4/15 9:50,健康证
信息类,3061,2024/4/7 0:00,象山老年医院,2024/4/15 9:52,健康证
信息类,4406,2024/1/3 0:00,象山老年医院,2024/4/15 9:53,健康证
信息类,3115,2023/9/23 0:00,象山老年医院,2024/4/15 9:54,健康证
信息类,4405,2023/12/27 0:00,象山老年医院,2024/4/15 9:55,健康证
信息类,4036,2023/12/17 0:00,象山老年医院,2024/4/15 9:57,健康证
信息类,4612,2024/2/1 0:00,象山老年医院,2024/4/15 9:58,健康证
操作类,478,2024/6/7 0:00,浙江省卫生行业职业技能鉴定指导中心,2024/6/21 12:47,医疗护理员操作技能证书
信息类,478,2024/3/9 0:00,,2024/6/21 13:06,健康证
认证类,4660,,,2024/7/4 11:17,养老护理员
认证类,1180,,,2024/7/4 13:55,养老护理员
认证类,1261,,,2024/7/5 10:00,养老护理员
认证类,1284,,,2024/7/5 10:28,保育师
认证类,1277,,,2024/7/10 10:28,养老护理员
认证类,1229,,,2024/7/10 14:58,养老护理员
认证类,4447,,,2024/7/15 15:55,养老护理员
